ticker,company,cik,index_name
EXLS,EXL Service,,SP400MidCap
EXP,Eagle Materials,,SP400MidCap
EXPO,"Exponent, Inc.",,SP400MidCap
FAF,First American Financial Corporation,,SP400MidCap
FBIN,Fortune Brands Innovations,,SP400MidCap
FCFS,FirstCash,,SP400MidCap
FCN,FTI Consulting,,SP400MidCap
FFIN,First Financial Bankshares,,SP400MidCap
FHI,Federated Hermes,,SP400MidCap
FHN,First Horizon,,SP400MidCap
FIVE,Five Below,,SP400MidCap
FLEX,Flex Ltd.,,SP400MidCap
FLG,Flagstar Bank,,SP400MidCap
FLR,Fluor,,SP400MidCap
FLS,Flowserve,,SP400MidCap
FN,Fabrinet,,SP400MidCap
FNB,FNB Corporation,,SP400MidCap
FND,Floor & Decor,,SP400MidCap
FNF,Fidelity National Financial,,SP400MidCap
FOUR,Shift4,,SP400MidCap
FR,First Industrial Realty Trust,,SP400MidCap
FTI,TechnipFMC,,SP400MidCap
G,Genpact,,SP400MidCap
GAP,Gap Inc.,,SP400MidCap
GATX,GATX,,SP400MidCap
GBCI,Glacier Bancorp,,SP400MidCap
GEF,"Greif, Inc.",,SP400MidCap
GGG,Graco Inc.,,SP400MidCap
GHC,Graham Holdings,,SP400MidCap
GLPI,Gaming and Leisure Properties,,SP400MidCap
GME,GameStop,,SP400MidCap
GMED,Globus Medical,,SP400MidCap
GNTX,Gentex,,SP400MidCap
GPK,Graphic Packaging,,SP400MidCap
GT,Goodyear Tire & Rubber,,SP400MidCap
GTLS,Chart Industries,,SP400MidCap
GWRE,Guidewire Software,,SP400MidCap
GXO,GXO Logistics,,SP400MidCap
H,Hyatt,,SP400MidCap
HAE,Haemonetics,,SP400MidCap
HALO,Halozyme,,SP400MidCap
HGV,Hilton Grand Vacations,,SP400MidCap
HIMS,Hims & Hers Health,,SP400MidCap
HL,Hecla Mining,,SP400MidCap
HLI,Houlihan Lokey,,SP400MidCap
HLNE,Hamilton Lane,,SP400MidCap
HOG,Harley-Davidson,,SP400MidCap
HOMB,Home BancShares,,SP400MidCap
HQY,HealthEquity,,SP400MidCap
HR,Healthcare Realty Trust,,SP400MidCap
HRB,H&R Block,,SP400MidCap
HWC,Hancock Whitney,,SP400MidCap
HXL,Hexcel,,SP400MidCap
IBOC,Intl Bancshares Corp,,SP400MidCap
IDA,Idacorp,,SP400MidCap
IDCC,InterDigital,,SP400MidCap
ILMN,"Illumina, Inc.",,SP400MidCap
INGR,Ingredion,,SP400MidCap
IPGP,IPG Photonics,,SP400MidCap
IRT,IRT Living,,SP400MidCap
ITT,ITT Inc.,,SP400MidCap
JAZZ,Jazz Pharmaceuticals,,SP400MidCap
JEF,Jefferies,,SP400MidCap
JHG,Janus Henderson,,SP400MidCap
JLL,Jones Lang LaSalle,,SP400MidCap
KBH,KB Home,,SP400MidCap
KBR,"KBR, Inc.",,SP400MidCap
KD,Kyndryl,,SP400MidCap
KEX,Kirby Corporation,,SP400MidCap
KNF,Knife River Corporation,,SP400MidCap
KNSL,Kinsale Capital Group,,SP400MidCap
KNX,Knight-Swift,,SP400MidCap
KRC,Kilroy Realty Corp,,SP400MidCap
KRG,Kite Realty Group Trust,,SP400MidCap
KTOS,Kratos Defense & Security Solutions,,SP400MidCap
LAD,Lithia Motors,,SP400MidCap
LAMR,Lamar Advertising Company,,SP400MidCap
LEA,Lear,,SP400MidCap
LECO,Lincoln Electric,,SP400MidCap
LFUS,Littelfuse,,SP400MidCap
LIVN,LivaNova,,SP400MidCap
LNTH,Lantheus Holdings,,SP400MidCap
LOPE,Grand Canyon Education,,SP400MidCap
LPX,Louisiana-Pacific,,SP400MidCap
LSCC,Lattice Semiconductor,,SP400MidCap
LSTR,Landstar System,,SP400MidCap
M,Macy's,,SP400MidCap
MANH,Manhattan Associates,,SP400MidCap
MASI,Masimo,,SP400MidCap
MAT,Mattel,,SP400MidCap
MEDP,Medpace,,SP400MidCap
MIDD,Middleby,,SP400MidCap
MKSI,MKS Instruments,,SP400MidCap
MLI,Mueller Industries,,SP400MidCap
MMS,Maximus Inc.,,SP400MidCap
MOG.A,Moog Inc.,,SP400MidCap
MORN,"Morningstar, Inc.",,SP400MidCap
MP,MP Materials,,SP400MidCap
MSA,MSA Safety,,SP400MidCap
MSM,MSC Industrial Direct,,SP400MidCap
MTDR,Matador Resources,,SP400MidCap
MTG,MGIC Investment Corporation,,SP400MidCap
MTN,Vail Resorts,,SP400MidCap
MTSI,MACOM Technology Solutions,,SP400MidCap
MTZ,MasTec,,SP400MidCap
MUR,Murphy Oil,,SP400MidCap
MUSA,Murphy USA,,SP400MidCap
MZTI,The Marzetti Company,,SP400MidCap
NBIX,Neurocrine Biosciences,,SP400MidCap
NEU,NewMarket Corporation,,SP400MidCap
NFG,National Fuel Gas,,SP400MidCap
NJR,New Jersey Resources,,SP400MidCap
NLY,Annaly Capital Management,,SP400MidCap
NNN,NNN Reit,,SP400MidCap
NOV,NOV Inc.,,SP400MidCap
NOVT,Novanta,,SP400MidCap
NSA,National Storage Affiliates Trust,,SP400MidCap
NTNX,Nutanix,,SP400MidCap
NVST,Envista Holdings,,SP400MidCap
NVT,nVent Electric plc,,SP400MidCap
NWE,NorthWestern Energy,,SP400MidCap
NXST,Nexstar Media Group,,SP400MidCap
NXT,Nextpower,,SP400MidCap
NYT,New York Times Company,,SP400MidCap
OC,Owens Corning,,SP400MidCap
OGE,OGE Energy,,SP400MidCap
OGS,One Gas,,SP400MidCap
OHI,Omega Healthcare Investors,,SP400MidCap
OKTA,"Okta, Inc.",,SP400MidCap
OLED,Universal Display,,SP400MidCap
OLLI,Ollie's Bargain Outlet,,SP400MidCap
OLN,Olin Corporation,,SP400MidCap
ONB,Old National Bank,,SP400MidCap
ONTO,Onto Innovation,,SP400MidCap
OPCH,Option Care Health,,SP400MidCap
ORA,Ormat Technologies,,SP400MidCap
ORI,Old Republic International,,SP400MidCap
OSK,Oshkosh,,SP400MidCap
OVV,Ovintiv,,SP400MidCap
OZK,Bank OZK,,SP400MidCap
P,Everpure,,SP400MidCap
PAG,Penske Automotive Group,,SP400MidCap
PATH,UiPath,,SP400MidCap
PB,Prosperity Bancshares,,SP400MidCap
PBF,PBF Energy,,SP400MidCap
PCTY,Paylocity,,SP400MidCap
PEGA,Pegasystems,,SP400MidCap
PEN,"Penumbra, Inc.",,SP400MidCap
PFGC,Performance Food Group,,SP400MidCap
PII,Polaris,,SP400MidCap
PINS,Pinterest,,SP400MidCap
PK,Park Hotels & Resorts,,SP400MidCap
PLNT,Planet Fitness,,SP400MidCap
PNFP,Pinnacle Financial Partners,,SP400MidCap
POR,Portland General Electric,,SP400MidCap
POST,Post Holdings,,SP400MidCap
PPC,Pilgrim's Pride,,SP400MidCap
PR,Permian Resources,,SP400MidCap
PRI,Primerica,,SP400MidCap
PSN,Parsons Corporation,,SP400MidCap
PVH,PVH Corp.,,SP400MidCap
QLYS,Qualys,,SP400MidCap
R,Ryder,,SP400MidCap
RBA,RB Global,,SP400MidCap
RBC,RBC Bearings,,SP400MidCap
REXR,Rexford Industrial Realty,,SP400MidCap
RGA,Reinsurance Group of America,,SP400MidCap
